densities ,ds       ,D_start       ,D_end         ,D_dt ,COO_s    ,COO_start     ,COO_end       ,COO_dt ,CSR_s    ,CSR_start     ,CSR_end       ,CSR_dt
     0.9  ,12908544 ,1701093979396 ,1701093979573 ,3.52 ,23235376 ,1701093980574 ,1701093990534 ,199.18 ,17434480 ,1701093991535 ,1701093998626 ,141.8
     0.8  ,12908544 ,1701094000727 ,1701094000904 ,3.52 ,20653664 ,1701094001905 ,1701094010081 ,163.52 ,15498196 ,1701094011082 ,1701094016761 ,113.56
     0.7  ,12908544 ,1701094018850 ,1701094019029 ,3.56 ,18071968 ,1701094020030 ,1701094026638 ,132.14 ,13561924 ,1701094027639 ,1701094032074 , 88.7
     0.6  ,12908544 ,1701094034155 ,1701094034464 ,6.16 ,15490256 ,1701094035465 ,1701094040640 ,103.48 ,11625640 ,1701094041641 ,1701094044966 , 66.48
     0.5  ,12908544 ,1701094047037 ,1701094047213 ,3.52 ,12908544 ,1701094048214 ,1701094052078 , 77.28 , 9689356 ,1701094053080 ,1701094055481 , 48.02
     0.4  ,12908544 ,1701094057544 ,1701094057718 ,3.48 ,10326832 ,1701094058719 ,1701094061481 , 55.24 , 7753072 ,1701094062482 ,1701094064106 , 32.46
     0.3  ,12908544 ,1701094066159 ,1701094066337 ,3.56 , 7745120 ,1701094067338 ,1701094069156 , 36.34 , 5816788 ,1701094070157 ,1701094071182 , 20.5
     0.2  ,12908544 ,1701094073224 ,1701094073401 ,3.52 , 5163424 ,1701094074402 ,1701094075476 , 21.48 , 3880516 ,1701094076477 ,1701094077043 , 11.3
     0.1  ,12908544 ,1701094079077 ,1701094079252 ,3.5  , 2581712 ,1701094080252 ,1701094080748 ,  9.92 , 1944232 ,1701094081749 ,1701094082017 ,  5.34
     0.01 ,12908544 ,1701094084044 ,1701094084220 ,3.5  ,  258176 ,1701094085220 ,1701094085253 ,  0.66 ,  201580 ,1701094086254 ,1701094086272 ,  0.36
