timestamp, power.draw []
2023/11/20 16:28:40.500, 23.02 
2023/11/20 16:28:40.505, 23.02 
2023/11/20 16:28:40.510, 23.02 
2023/11/20 16:28:40.515, 23.02 
2023/11/20 16:28:40.520, 23.02 
2023/11/20 16:28:40.526, 23.02 
2023/11/20 16:28:40.531, 23.02 
2023/11/20 16:28:40.536, 23.02 
2023/11/20 16:28:40.541, 23.02 
2023/11/20 16:28:40.546, 25.38 
2023/11/20 16:28:40.551, 25.38 
2023/11/20 16:28:40.557, 25.38 
2023/11/20 16:28:40.562, 25.38 
2023/11/20 16:28:40.567, 25.38 
2023/11/20 16:28:40.572, 25.38 
2023/11/20 16:28:40.577, 25.38 
2023/11/20 16:28:40.582, 25.38 
2023/11/20 16:28:40.588, 25.38 
2023/11/20 16:28:40.593, 25.38 
2023/11/20 16:28:40.598, 25.38 
2023/11/20 16:28:40.603, 25.38 
2023/11/20 16:28:40.608, 25.38 
2023/11/20 16:28:40.613, 25.38 
2023/11/20 16:28:40.619, 25.38 
2023/11/20 16:28:40.624, 25.38 
2023/11/20 16:28:40.629, 25.38 
2023/11/20 16:28:40.634, 25.38 
2023/11/20 16:28:40.639, 25.38 
2023/11/20 16:28:40.644, 27.77 
2023/11/20 16:28:40.650, 27.77 
2023/11/20 16:28:40.655, 27.77 
2023/11/20 16:28:40.661, 27.77 
2023/11/20 16:28:40.666, 27.77 
2023/11/20 16:28:40.672, 27.77 
2023/11/20 16:28:40.677, 27.77 
2023/11/20 16:28:40.682, 27.77 
2023/11/20 16:28:40.687, 27.77 
2023/11/20 16:28:40.692, 27.77 
2023/11/20 16:28:40.697, 27.77 
2023/11/20 16:28:40.703, 27.77 
2023/11/20 16:28:40.708, 27.77 
2023/11/20 16:28:40.713, 27.77 
2023/11/20 16:28:40.718, 27.77 
2023/11/20 16:28:40.723, 27.77 
2023/11/20 16:28:40.728, 27.77 
2023/11/20 16:28:40.733, 27.77 
2023/11/20 16:28:40.738, 27.77 
2023/11/20 16:28:40.743, 27.77 
2023/11/20 16:28:40.749, 30.16 
2023/11/20 16:28:40.754, 30.16 
2023/11/20 16:28:40.759, 30.16 
2023/11/20 16:28:40.764, 30.16 
2023/11/20 16:28:40.769, 30.16 
2023/11/20 16:28:40.774, 30.16 
2023/11/20 16:28:40.779, 30.16 
2023/11/20 16:28:40.784, 30.16 
2023/11/20 16:28:40.789, 30.16 
2023/11/20 16:28:40.794, 30.16 
2023/11/20 16:28:40.800, 30.16 
2023/11/20 16:28:40.805, 30.16 
2023/11/20 16:28:40.810, 30.16 
2023/11/20 16:28:40.815, 30.16 
2023/11/20 16:28:40.820, 30.16 
2023/11/20 16:28:40.825, 30.16 
2023/11/20 16:28:40.831, 30.16 
2023/11/20 16:28:40.836, 30.16 
